Mgig,GCF_963853765.1,Mgig_copy1_exons.bed,Magallana gigas,Pacific oyster
Mgig,GCF_963853765.1,Mgig_copy2_exons.bed,Magallana gigas,Pacific oyster
Rphi,GCF_026571515.1,Rphi_copy1_exons.bed,Ruditapes philippinarum,Manila clam
Rphi,GCF_026571515.1,Rphi_copy2_exons.bed,Ruditapes philippinarum,Manila clam
Mmrc,GCF_021730395.1,Mmrc_copy1_exons.bed,Mercenaria mercenaria,
Mmrc,GCF_021730395.1,Mmrc_copy2_exons.bed,Mercenaria mercenaria,
Upic,GCA_030141615.1,Upic_copy1_exons.bed,Unio pictorum,painter's mussel
Mmar,GCA_029931535.1,Mmar_copy1_exons.bed,Margaritifera margaritifera,freshwater pearlshell mussel
Mmar,GCA_029931535.1,Mmar_copy2_exons.bed,Margaritifera margaritifera,freshwater pearlshell mussel
Fhep,GCA_948099385.2,Fhep_copy1_exons.bed,Fasciola hepatica,liver fluke
Svel,GCA_048127485.1,Svel_copy1_exons.bed,Solemya velum,Atlantic awning clam
Svel,GCA_048127485.1,Svel_copy2_exons.bed,Solemya velum,Atlantic awning clam
Pvul,GCF_932274485.2,Pvul_copy1_exons.bed,Patella vulgata,common limpet
Hruf,GCF_023055435.1,Hruf_copy1_exons.bed,Haliotis rufescens,red abalone
Hruf,GCF_023055435.1,Hruf_copy2_exons.bed,Haliotis rufescens,red abalone
Osin,GCF_006345805.1,Osin_copy1_exons.bed,Octopus sinensis,East Asian common octopus
Npom,GCA_047652355.1,Npom_copy1_exons.bed,Nautilus pompilius,
Lsin,GCF_032854445.1,Lsin_copy1_exons.bed,Liolophura sinensis,
Ofus,GCA_903813345.2,Ofus_copy1_exons.bed,Owenia fusiformis,
Mmre,GCA_978046135.1,Mmre_copy1_exons.bed,Meretrix meretrix,Asiatic hard clam
